,red,green,blue
0,47709.0,211680.0,2755.0
1,69967.0,192177.0,0.0
2,31196.0,230948.0,0.0
3,0.0,261850.0,294.0
4,105398.0,153143.0,3603.0
5,16959.0,239929.0,5256.0
6,20824.0,229209.0,12111.0
7,16425.0,245719.0,0.0
8,60993.0,199078.0,2073.0
9,29587.0,232557.0,0.0
10,5367.0,256130.0,647.0
11,2462.0,258453.0,1229.0
12,0.0,262144.0,0.0
13,162474.0,95296.0,4374.0
14,27554.0,234590.0,0.0
15,1856.0,166840.0,93448.0
16,7394.0,253863.0,887.0
17,3904.0,258240.0,0.0
18,5011.0,257133.0,0.0
19,25895.0,231241.0,5008.0
20,96755.0,162473.0,2916.0
21,23612.0,238532.0,0.0
22,28920.0,233224.0,0.0
23,0.0,262144.0,0.0
24,0.0,262144.0,0.0
25,50084.0,209356.0,2704.0
26,33503.0,226991.0,1650.0
27,0.0,262144.0,0.0
28,34624.0,220298.0,7222.0
29,4377.0,256874.0,893.0
30,85744.0,175275.0,1125.0
31,80314.0,181830.0,0.0
32,2965.0,259179.0,0.0
33,102878.0,156992.0,2274.0
34,17164.0,243841.0,1139.0
35,26743.0,235401.0,0.0
36,0.0,262144.0,0.0
37,43016.0,217613.0,1515.0
38,30278.0,230202.0,1664.0
39,23384.0,238760.0,0.0
40,8380.0,253764.0,0.0
41,0.0,159139.0,103005.0
42,0.0,260699.0,1445.0
43,97186.0,164958.0,0.0
44,33641.0,228503.0,0.0
45,19456.0,242688.0,0.0
46,32002.0,225903.0,4239.0
47,15876.0,245430.0,838.0
48,56756.0,205388.0,0.0
49,35777.0,226367.0,0.0
